#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         278     1.18378     1.28609   0.0189683
         279     1.18318     1.28572   0.0189039
         280     1.18256     1.28535   0.0188399
         281     1.18192     1.28498   0.0187765
         282     1.18124     1.28461   0.0187135
         283     1.18053     1.28424    0.018651
         284     1.17979     1.28388   0.0185889
         285     1.17901     1.28351   0.0185274
         286     1.17819     1.28314   0.0184662
         287     1.17734     1.28277   0.0184056
         288     1.17643      1.2824   0.0183454
         289     1.17548     1.28203   0.0182856
         290     1.17447     1.28166   0.0182263
         291      1.1734     1.28129   0.0181675
         292     1.17228     1.28092   0.0181091
         293     1.17109     1.28054   0.0180512
         294     1.16982     1.28017   0.0179937
         295     1.16849     1.27979   0.0179367
         296     1.16709     1.27941   0.0178801
         297      1.1656     1.27902    0.017824
         298     1.16404     1.27864   0.0177684
         299      1.1624     1.27825   0.0177132
         300     1.16068     1.27786   0.0176585
         301     1.15889     1.27746   0.0176043
         302     1.15702     1.27706   0.0175505
         303     1.15507     1.27666   0.0174972
         304     1.15305     1.27625   0.0174444
         305     1.15097     1.27584    0.017392
         306     1.14883     1.27543   0.0173401
         307     1.14664     1.27501   0.0172887
         308      1.1444     1.27458   0.0172378
         309     1.14212     1.27416   0.0171873
         310      1.1398     1.27372   0.0171373
         311     1.13745     1.27328   0.0170878
         312     1.13507     1.27284   0.0170388
         313     1.13269     1.27239   0.0169903
         314     1.13029     1.27194   0.0169422
         315     1.12788     1.27148   0.0168946
         316     1.12547     1.27102   0.0168474
         317     1.12305     1.27055   0.0168007
         318     1.12064     1.27008   0.0167545
         319     1.11822     1.26961   0.0167088
         320     1.11581     1.26913   0.0166635
         321     1.11339     1.26864   0.0166186
         322     1.11098     1.26815   0.0165742
         323     1.10855     1.26766   0.0165303
         324     1.10613     1.26716   0.0164868
         325     1.10369     1.26666   0.0164437
         326     1.10124     1.26615   0.0164011
         327     1.09879     1.26564   0.0163589
         328     1.09632     1.26512   0.0163172
         329     1.09383      1.2646   0.0162759
         330     1.09133     1.26407    0.016235
         331     1.08882     1.26354   0.0161946
         332      1.0863     1.26301   0.0161546
         333     1.08378     1.26247   0.0161151
         334     1.08126     1.26193    0.016076
         335     1.07875     1.26138   0.0160373
         336     1.07625     1.26083    0.015999
         337     1.07378     1.26028   0.0159612
         338     1.07135     1.25972   0.0159237
         339     1.06898     1.25916   0.0158867
         340     1.06667     1.25859     0.01585
         341     1.06444     1.25802   0.0158138
         342     1.06231     1.25745   0.0157779
         343     1.06028     1.25687   0.0157424
         344     1.05838      1.2563   0.0157072
         345     1.05661     1.25572   0.0156723
         346       1.055     1.25514   0.0156377
         347     1.05355     1.25456   0.0156035
         348     1.05227     1.25398   0.0155694
         349     1.05117     1.25339   0.0155357
         350     1.05027     1.25281   0.0155021
         351     1.04956     1.25223   0.0154688
         352     1.04906     1.25166   0.0154356
         353     1.04877     1.25108   0.0154026
         354     1.04868     1.25051   0.0153697
         355      1.0488     1.24994   0.0153369
