#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         234   0.0924337   0.0963758 0.000477078
         235   0.0918559   0.0963565 0.000475435
         236   0.0913091   0.0963352 0.000473901
         237    0.090793   0.0963118 0.000472478
         238    0.090306   0.0962865 0.000471166
         239   0.0898491   0.0962596 0.000469964
         240   0.0894199   0.0962311 0.000468869
         241   0.0890177   0.0962012 0.000467878
         242   0.0886423   0.0961699 0.000466986
         243   0.0882911   0.0961375 0.000466189
         244   0.0879642    0.096104  0.00046548
         245   0.0876596   0.0960695 0.000464854
         246   0.0873768   0.0960342 0.000464306
         247   0.0871144   0.0959981 0.000463828
         248   0.0868712   0.0959613 0.000463416
         249   0.0866464   0.0959239 0.000463062
         250   0.0864396   0.0958859 0.000462761
         251   0.0862496   0.0958476 0.000462507
         252   0.0860746   0.0958088 0.000462295
         253   0.0859148   0.0957697 0.000462119
         254   0.0857689   0.0957303 0.000461974
         255   0.0856361   0.0956907 0.000461855
         256   0.0855163    0.095651 0.000461758
         257   0.0854085   0.0956111 0.000461678
         258   0.0853121   0.0955712 0.000461611
         259   0.0852265   0.0955313 0.000461553
         260   0.0851509   0.0954913 0.000461502
         261   0.0850854   0.0954515 0.000461452
         262   0.0850291   0.0954117 0.000461403
         263   0.0849809    0.095372  0.00046135
         264    0.084941   0.0953325 0.000461291
         265   0.0849084   0.0952932 0.000461224
         266   0.0848834    0.095254 0.000461148
         267   0.0848652   0.0952151 0.000461059
         268   0.0848533   0.0951765 0.000460957
         269    0.084847   0.0951381  0.00046084
         270   0.0848464   0.0950999 0.000460707
         271   0.0848506   0.0950621 0.000460557
         272   0.0848602   0.0950246 0.000460388
         273   0.0848735   0.0949874 0.000460201
         274   0.0848902   0.0949506 0.000459994
         275   0.0849109   0.0949141 0.000459768
         276   0.0849347   0.0948779 0.000459522
         277   0.0849607   0.0948421 0.000459256
         278    0.084989   0.0948067 0.000458969
         279   0.0850196   0.0947716 0.000458663
         280   0.0850522   0.0947369 0.000458336
         281   0.0850853   0.0947025  0.00045799
         282   0.0851207   0.0946686 0.000457625
         283    0.085156   0.0946349 0.000457241
         284    0.085192   0.0946017 0.000456838
         285   0.0852282   0.0945688 0.000456417
         286   0.0852643   0.0945363  0.00045598
         287      0.0853   0.0945041 0.000455525
         288   0.0853352   0.0944723 0.000455055
         289   0.0853694   0.0944408 0.000454569
         290    0.085403   0.0944096 0.000454068
         291   0.0854352   0.0943788 0.000453554
         292   0.0854666   0.0943482 0.000453027
         293   0.0854965    0.094318 0.000452487
         294   0.0855256   0.0942881 0.000451935
         295   0.0855532   0.0942585 0.000451372
         296   0.0855795   0.0942292 0.000450798
         297   0.0856045   0.0942001 0.000450215
         298   0.0856287   0.0941714 0.000449622
         299   0.0856515   0.0941429  0.00044902
         300   0.0856736   0.0941147  0.00044841
         301   0.0856948   0.0940867 0.000447792
         302   0.0857154    0.094059 0.000447166
         303   0.0857362   0.0940315 0.000446533
         304   0.0857564   0.0940043 0.000445893
         305   0.0857764   0.0939773 0.000445247
         306   0.0857973   0.0939506 0.000444593
         307   0.0858191   0.0939241 0.000443933
         308    0.085842   0.0938978 0.000443267
         309   0.0858665   0.0938718 0.000442594
         310   0.0858934   0.0938461 0.000441914
         311   0.0859221   0.0938206 0.000441227
         312   0.0859533   0.0937954 0.000440532
         313   0.0859882   0.0937705  0.00043983
         314   0.0860259   0.0937458 0.000439121
         315   0.0860675   0.0937214 0.000438403
         316   0.0861136   0.0936974 0.000437676
         317   0.0861643   0.0936736  0.00043694
         318   0.0862203   0.0936502 0.000436194
         319   0.0862812   0.0936271 0.000435438
         320   0.0863484   0.0936043 0.000434671
         321   0.0864213   0.0935819 0.000433892
