#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         250     2.68777     2.68514 0.000914576
         251     2.68789     2.68515 0.000910998
         252     2.68796     2.68517  0.00090745
         253     2.68797     2.68518 0.000903931
         254     2.68794     2.68519 0.000900438
         255     2.68787      2.6852 0.000896968
         256     2.68775     2.68521  0.00089352
         257     2.68761     2.68522 0.000890092
         258     2.68744     2.68523 0.000886684
         259     2.68725     2.68523 0.000883295
         260     2.68704     2.68524 0.000879925
         261     2.68683     2.68525 0.000876575
         262     2.68661     2.68525 0.000873245
         263     2.68639     2.68526 0.000869935
         264     2.68618     2.68526 0.000866647
         265     2.68598     2.68526 0.000863381
         266     2.68579     2.68526 0.000860137
         267     2.68561     2.68527 0.000856917
         268     2.68546     2.68527  0.00085372
         269     2.68534     2.68527 0.000850546
         270     2.68525     2.68527 0.000847396
         271      2.6852     2.68527 0.000844269
         272     2.68518     2.68527 0.000841165
         273     2.68521     2.68527 0.000838084
         274     2.68528     2.68527 0.000835025
         275      2.6854     2.68527 0.000831989
         276     2.68555     2.68527 0.000828975
         277     2.68575     2.68527 0.000825984
         278       2.686     2.68527 0.000823017
         279      2.6863     2.68528 0.000820076
         280     2.68665     2.68528 0.000817162
         281     2.68703     2.68529 0.000814277
         282     2.68745     2.68529 0.000811426
         283     2.68791      2.6853 0.000808611
         284     2.68841     2.68531 0.000805838
         285     2.68894     2.68533 0.000803111
         286     2.68949     2.68534 0.000800435
         287     2.69007     2.68536 0.000797815
         288     2.69066     2.68538 0.000795258
         289     2.69126      2.6854 0.000792767
         290     2.69187     2.68542 0.000790347
         291     2.69247     2.68544 0.000788002
         292     2.69306     2.68547 0.000785735
         293     2.69363      2.6855 0.000783547
         294     2.69417     2.68553 0.000781437
         295     2.69467     2.68556 0.000779403
         296     2.69513     2.68559  0.00077744
         297     2.69554     2.68562 0.000775545
         298     2.69588     2.68566 0.000773706
         299     2.69615     2.68569 0.000771913
         300     2.69632     2.68573 0.000770153
         301     2.69641     2.68576 0.000768411
         302     2.69639      2.6858 0.000766671
         303     2.69627     2.68583 0.000764919
         304     2.69603     2.68587 0.000763139
         305     2.69568      2.6859 0.000761315
         306     2.69522     2.68593 0.000759436
         307     2.69464     2.68596 0.000757492
         308     2.69395     2.68598 0.000755477
         309     2.69316     2.68601 0.000753389
         310     2.69229     2.68603 0.000751231
         311     2.69134     2.68604  0.00074901
         312     2.69032     2.68606 0.000746734
         313     2.68926     2.68607 0.000744419
         314     2.68819     2.68608 0.000742078
         315      2.6871     2.68608  0.00073973
         316     2.68604     2.68608 0.000737389
         317     2.68502     2.68608  0.00073507
         318     2.68405     2.68607 0.000732786
         319     2.68316     2.68606 0.000730546
         320     2.68236     2.68605 0.000728355
         321     2.68165     2.68603 0.000726215
         322     2.68105     2.68602 0.000724124
         323     2.68057       2.686 0.000722079
         324      2.6802     2.68598 0.000720072
         325     2.67995     2.68597 0.000718096
         326     2.67979     2.68595 0.000716143
         327     2.67976     2.68593 0.000714203
         328     2.67981     2.68591 0.000712269
         329     2.67995     2.68589 0.000710334
         330     2.68016     2.68587 0.000708394
         331     2.68044     2.68586 0.000706444
         332     2.68076     2.68584 0.000704483
         333     2.68114     2.68583 0.000702509
         334     2.68154     2.68581 0.000700523
         335     2.68197      2.6858 0.000698526
         336     2.68242     2.68579  0.00069652
         337     2.68289     2.68578 0.000694506
         338     2.68335     2.68578 0.000692489
         339     2.68382     2.68577  0.00069047
         340     2.68429     2.68577 0.000688453
         341     2.68475     2.68576  0.00068644
         342     2.68519     2.68576 0.000684435
         343     2.68563     2.68576  0.00068244
         344     2.68604     2.68576 0.000680457
         345     2.68643     2.68577 0.000678487
         346      2.6868     2.68577 0.000676533
         347     2.68715     2.68577 0.000674595
         348     2.68745     2.68578 0.000672674
         349     2.68773     2.68578 0.000670769
         350     2.68796     2.68579 0.000668882
         351     2.68816      2.6858  0.00066701
         352     2.68832      2.6858 0.000665154
         353     2.68842     2.68581 0.000663311
         354     2.68848     2.68582  0.00066148
         355      2.6885     2.68583  0.00065966
         356     2.68848     2.68583 0.000657849
         357     2.68841     2.68584 0.000656046
         358      2.6883     2.68585 0.000654249
         359     2.68817     2.68585 0.000652459
         360     2.68801     2.68586 0.000650674
         361     2.68783     2.68586 0.000648894
         362     2.68763     2.68587  0.00064712
         363     2.68743     2.68587 0.000645352
         364     2.68723     2.68588  0.00064359
         365     2.68703     2.68588 0.000641834
         366     2.68685     2.68588 0.000640086
         367     2.68668     2.68589 0.000638345
         368     2.68654     2.68589 0.000636613
         369     2.68642     2.68589  0.00063489
         370     2.68635     2.68589 0.000633175
         371     2.68629     2.68589 0.000631469
         372     2.68628     2.68589 0.000629773
         373      2.6863     2.68589 0.000628085
         374     2.68636     2.68589 0.000626407
         375     2.68644      2.6859 0.000624738
         376     2.68655      2.6859 0.000623079
         377      2.6867      2.6859  0.00062143
         378     2.68686      2.6859 0.000619791
         379     2.68706     2.68591 0.000618163
         380     2.68727     2.68591 0.000616547
         381     2.68748     2.68591 0.000614943
         382     2.68771     2.68592 0.000613351
         383     2.68795     2.68592 0.000611772
         384     2.68819     2.68593 0.000610208
         385     2.68843     2.68594 0.000608657
         386     2.68867     2.68594 0.000607122
         387     2.68891     2.68595 0.000605601
         388     2.68914     2.68596 0.000604096
         389     2.68935     2.68597 0.000602606
         390     2.68956     2.68598 0.000601132
         391     2.68975     2.68599 0.000599672
         392     2.68992       2.686 0.000598226
         393     2.69006     2.68601 0.000596793
         394     2.69019     2.68602 0.000595373
         395     2.69028     2.68603 0.000593963
         396     2.69034     2.68604 0.000592563
         397     2.69037     2.68605 0.000591171
         398     2.69037     2.68606 0.000589786
         399     2.69033     2.68607 0.000588404
         400     2.69025     2.68608 0.000587026
         401     2.69013     2.68609 0.000585649
         402     2.68998      2.6861 0.000584272
         403     2.68978     2.68611 0.000582894
         404     2.68955     2.68612 0.000581513
         405     2.68928     2.68613 0.000580129
         406     2.68898     2.68613 0.000578743
         407     2.68865     2.68614 0.000577354
         408     2.68829     2.68615 0.000575963
         409     2.68791     2.68615 0.000574571
         410     2.68753     2.68615 0.000573179
         411     2.68714     2.68616  0.00057179
         412     2.68675     2.68616 0.000570404
         413     2.68635     2.68616 0.000569023
         414     2.68598     2.68616 0.000567649
         415     2.68561     2.68616 0.000566282
         416     2.68528     2.68615 0.000564925
         417     2.68497     2.68615 0.000563577
         418     2.68471     2.68615  0.00056224
         419     2.68448     2.68614 0.000560912
         420      2.6843     2.68614 0.000559593
         421     2.68417     2.68613 0.000558284
         422     2.68408     2.68613 0.000556982
         423     2.68404     2.68612 0.000555687
         424     2.68405     2.68612 0.000554398
         425      2.6841     2.68611 0.000553114
         426     2.68421     2.68611 0.000551834
         427     2.68435     2.68611 0.000550557
         428     2.68454      2.6861 0.000549282
         429     2.68476      2.6861 0.000548011
         430     2.68501      2.6861 0.000546742
         431      2.6853     2.68609 0.000545477
         432     2.68562     2.68609 0.000544215
         433     2.68596     2.68609 0.000542959
         434     2.68631     2.68609 0.000541708
         435     2.68669      2.6861 0.000540464
         436     2.68707      2.6861 0.000539229
         437     2.68746      2.6861 0.000538004
         438     2.68786      2.6861 0.000536791
         439     2.68826     2.68611 0.000535591
         440     2.68866     2.68612 0.000534405
         441     2.68905     2.68612 0.000533235
         442     2.68942     2.68613  0.00053208
         443     2.68977     2.68614 0.000530943
         444      2.6901     2.68615 0.000529822
         445     2.69042     2.68616 0.000528718
         446      2.6907     2.68617 0.000527631
         447     2.69095     2.68618 0.000526559
         448     2.69116     2.68619 0.000525501
         449     2.69132      2.6862 0.000524454
         450     2.69143     2.68621 0.000523418
         451     2.69148     2.68622 0.000522388
         452     2.69149     2.68623 0.000521362
         453     2.69144     2.68625 0.000520338
         454     2.69134     2.68626 0.000519313
         455     2.69119     2.68627 0.000518285
         456     2.69099     2.68628 0.000517252
         457     2.69075     2.68629 0.000516212
         458     2.69047      2.6863 0.000515166
         459     2.69016     2.68631 0.000514112
         460     2.68981     2.68631 0.000513051
         461     2.68944     2.68632 0.000511983
         462     2.68906     2.68633 0.000510909
         463     2.68866     2.68633  0.00050983
         464     2.68828     2.68634 0.000508749
         465      2.6879     2.68634 0.000507666
         466     2.68753     2.68634 0.000506583
         467     2.68719     2.68634 0.000505501
         468     2.68686     2.68634 0.000504422
         469     2.68658     2.68634 0.000503347
         470     2.68631     2.68634 0.000502276
         471     2.68608     2.68634  0.00050121
         472     2.68587     2.68634 0.000500149
         473      2.6857     2.68634 0.000499094
         474     2.68557     2.68634 0.000498043
         475     2.68545     2.68634 0.000496998
         476     2.68536     2.68634 0.000495958
         477     2.68529     2.68633 0.000494924
         478     2.68524     2.68633 0.000493893
         479     2.68521     2.68633 0.000492868
         480     2.68519     2.68633 0.000491847
         481     2.68518     2.68632  0.00049083
         482     2.68518     2.68632 0.000489817
         483     2.68518     2.68632 0.000488809
         484     2.68518     2.68632 0.000487805
         485     2.68518     2.68632 0.000486805
         486     2.68518     2.68631 0.000485808
         487     2.68518     2.68631 0.000484816
         488     2.68517     2.68631 0.000483829
         489     2.68517     2.68631 0.000482845
         490     2.68514      2.6863 0.000481865
         491     2.68511      2.6863  0.00048089
         492     2.68507      2.6863 0.000479919
         493     2.68502      2.6863 0.000478952
         494     2.68496     2.68629  0.00047799
         495      2.6849     2.68629 0.000477033
         496     2.68483     2.68629 0.000476081
         497     2.68473     2.68628 0.000475133
         498     2.68464     2.68628  0.00047419
         499     2.68453     2.68628 0.000473253
         500     2.68442     2.68627 0.000472321
         501      2.6843     2.68627 0.000471395
         502     2.68419     2.68627 0.000470474
         503     2.68406     2.68626 0.000469559
         504     2.68394     2.68626  0.00046865
         505     2.68382     2.68625 0.000467747
         506     2.68371     2.68625 0.000466849
         507     2.68361     2.68624 0.000465958
         508     2.68352     2.68624 0.000465071
         509     2.68345     2.68623  0.00046419
         510      2.6834     2.68623 0.000463312
         511     2.68338     2.68622 0.000462439
         512     2.68338     2.68621 0.000461569
         513     2.68342     2.68621 0.000460702
         514      2.6835      2.6862 0.000459836
         515      2.6836      2.6862  0.00045897
         516     2.68375     2.68619 0.000458105
         517     2.68395     2.68619  0.00045724
         518     2.68418     2.68619 0.000456374
         519     2.68447     2.68618 0.000455506
         520     2.68479     2.68618 0.000454638
         521     2.68515     2.68618  0.00045377
         522     2.68555     2.68618 0.000452902
         523     2.68598     2.68618 0.000452036
         524     2.68644     2.68618 0.000451174
         525     2.68693     2.68618 0.000450317
         526     2.68745     2.68618 0.000449467
         527     2.68797     2.68618 0.000448627
         528     2.68851     2.68619 0.000447799
         529     2.68903     2.68619 0.000446985
         530     2.68955      2.6862 0.000446187
         531     2.69005     2.68621 0.000445405
         532     2.69051     2.68622 0.000444641
         533     2.69093     2.68622 0.000443895
         534      2.6913     2.68623 0.000443166
         535     2.69162     2.68624 0.000442452
         536     2.69186     2.68625  0.00044175
         537     2.69202     2.68626 0.000441058
         538     2.69209     2.68628 0.000440371
         539     2.69209     2.68629 0.000439686
         540     2.69199      2.6863 0.000438999
         541     2.69182     2.68631 0.000438306
         542     2.69159     2.68632 0.000437606
         543     2.69129     2.68633 0.000436895
         544     2.69093     2.68633 0.000436174
         545     2.69055     2.68634 0.000435442
         546     2.69016     2.68635 0.000434701
         547     2.68977     2.68636 0.000433951
         548     2.68941     2.68636 0.000433195
         549     2.68908     2.68637 0.000432434
         550     2.68881     2.68637 0.000431671
         551     2.68859     2.68637 0.000430906
         552     2.68844     2.68638 0.000430142
         553     2.68836     2.68638 0.000429379
         554     2.68834     2.68639 0.000428618
         555      2.6884     2.68639 0.000427861
         556     2.68851     2.68639 0.000427109
         557     2.68867      2.6864 0.000426362
         558     2.68888      2.6864 0.000425621
         559     2.68911     2.68641 0.000424887
         560     2.68937     2.68641 0.000424161
         561     2.68963     2.68642 0.000423444
         562     2.68988     2.68642 0.000422735
         563     2.69012     2.68643 0.000422035
         564     2.69034     2.68644 0.000421344
         565     2.69052     2.68644  0.00042066
         566     2.69067     2.68645 0.000419983
         567     2.69076     2.68646 0.000419311
         568      2.6908     2.68647 0.000418642
         569     2.69078     2.68647 0.000417975
         570      2.6907     2.68648 0.000417307
         571     2.69054     2.68649 0.000416637
         572     2.69033      2.6865 0.000415963
         573     2.69005      2.6865 0.000415283
         574     2.68971     2.68651 0.000414597
         575     2.68932     2.68651 0.000413905
         576     2.68888     2.68652 0.000413207
         577      2.6884     2.68652 0.000412503
         578     2.68789     2.68652 0.000411797
         579     2.68735     2.68652 0.000411088
         580      2.6868     2.68652 0.000410379
         581     2.68625     2.68652 0.000409673
         582     2.68571     2.68652 0.000408972
         583     2.68519     2.68652 0.000408277
         584      2.6847     2.68652 0.000407589
         585     2.68425     2.68651 0.000406911
         586     2.68384     2.68651 0.000406242
         587     2.68348      2.6865 0.000405583
         588     2.68318      2.6865 0.000404933
         589     2.68293     2.68649 0.000404291
         590     2.68273     2.68649 0.000403656
         591     2.68259     2.68648 0.000403026
         592     2.68251     2.68647 0.000402401
         593     2.68248     2.68647 0.000401779
         594      2.6825     2.68646 0.000401158
         595     2.68258     2.68645 0.000400536
         596      2.6827     2.68645 0.000399914
         597     2.68285     2.68644 0.000399289
         598     2.68305     2.68643 0.000398662
         599     2.68328     2.68643 0.000398031
         600     2.68353     2.68642 0.000397397
         601      2.6838     2.68642  0.00039676
         602     2.68409     2.68642 0.000396119
         603     2.68438     2.68641 0.000395477
         604     2.68469     2.68641 0.000394832
         605     2.68501     2.68641 0.000394187
         606     2.68533     2.68641  0.00039354
         607     2.68565      2.6864 0.000392894
         608     2.68598      2.6864 0.000392248
         609      2.6863      2.6864 0.000391604
         610     2.68661      2.6864 0.000390962
         611     2.68691      2.6864 0.000390323
         612     2.68719     2.68641 0.000389688
         613     2.68746     2.68641 0.000389056
         614     2.68773     2.68641 0.000388428
