#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         315     4.05244     4.12494   0.0135227
         316     4.05147     4.12471   0.0134819
         317     4.05156     4.12448   0.0134414
         318     4.05267     4.12426    0.013401
         319     4.05474     4.12404   0.0133608
         320     4.05769     4.12383   0.0133206
         321     4.06145     4.12364   0.0132806
         322     4.06591     4.12346   0.0132405
         323     4.07095     4.12329   0.0132005
         324     4.07648     4.12315   0.0131606
         325     4.08236     4.12302   0.0131207
         326      4.0885     4.12292   0.0130809
         327     4.09479     4.12283   0.0130411
         328     4.10111     4.12277   0.0130015
         329     4.10738     4.12272   0.0129621
         330     4.11351     4.12269   0.0129229
         331     4.11943     4.12268   0.0128838
         332     4.12507     4.12269    0.012845
         333     4.13039     4.12271   0.0128065
         334     4.13533     4.12275   0.0127682
         335     4.13987      4.1228   0.0127302
         336     4.14398     4.12286   0.0126924
         337     4.14765     4.12294    0.012655
         338     4.15085     4.12302   0.0126178
         339     4.15359     4.12311   0.0125809
         340     4.15586     4.12321   0.0125443
         341     4.15768     4.12331   0.0125079
         342     4.15903     4.12341   0.0124718
         343     4.15995     4.12352   0.0124359
         344     4.16044     4.12363   0.0124002
         345     4.16051     4.12373   0.0123647
         346      4.1602     4.12384   0.0123294
         347     4.15952     4.12394   0.0122943
         348      4.1585     4.12404   0.0122594
         349     4.15718     4.12413   0.0122246
         350     4.15559     4.12422     0.01219
         351     4.15377     4.12431   0.0121556
         352     4.15176     4.12439   0.0121213
         353      4.1496     4.12446   0.0120872
         354     4.14734     4.12452   0.0120532
         355     4.14502     4.12458   0.0120194
         356     4.14269     4.12463   0.0119857
         357     4.14039     4.12468   0.0119522
         358     4.13816     4.12471   0.0119189
         359     4.13604     4.12474   0.0118858
         360     4.13406     4.12477   0.0118528
         361     4.13225     4.12479     0.01182
         362     4.13062     4.12481   0.0117873
         363     4.12919     4.12482   0.0117548
         364     4.12797     4.12483   0.0117226
         365     4.12695     4.12483   0.0116904
         366     4.12612     4.12484   0.0116585
         367     4.12549     4.12484   0.0116267
         368     4.12501     4.12484   0.0115951
         369     4.12468     4.12484   0.0115637
         370     4.12445     4.12484   0.0115325
         371     4.12431     4.12484   0.0115014
         372     4.12422     4.12484   0.0114705
         373     4.12414     4.12483   0.0114397
         374     4.12404     4.12483   0.0114091
         375     4.12389     4.12483   0.0113787
         376     4.12366     4.12483   0.0113484
         377     4.12331     4.12482   0.0113183
         378     4.12282     4.12482   0.0112884
         379     4.12216     4.12481   0.0112586
         380     4.12132      4.1248    0.011229
         381     4.12028     4.12479   0.0111995
         382     4.11902     4.12477   0.0111702
         383     4.11753     4.12475   0.0111411
         384     4.11581     4.12473   0.0111121
         385     4.11385      4.1247   0.0110832
         386     4.11164     4.12467   0.0110546
         387      4.1092     4.12463   0.0110261
         388     4.10653     4.12458   0.0109978
         389     4.10363     4.12453   0.0109696
         390     4.10051     4.12447   0.0109417
         391      4.0972      4.1244   0.0109139
         392      4.0937     4.12432   0.0108864
         393     4.09003     4.12423    0.010859
         394     4.08622     4.12414   0.0108319
         395      4.0823     4.12403    0.010805
         396     4.07828     4.12391   0.0107783
         397     4.07421     4.12379   0.0107519
         398      4.0701     4.12365   0.0107257
         399       4.066     4.12351   0.0106998
         400     4.06195     4.12336   0.0106742
         401     4.05798     4.12319   0.0106488
         402     4.05413     4.12302   0.0106237
         403     4.05043     4.12284   0.0105988
         404     4.04694     4.12265   0.0105743
         405     4.04368     4.12246     0.01055
         406      4.0407     4.12226   0.0105259
         407     4.03802     4.12205   0.0105021
         408     4.03567     4.12184   0.0104785
         409     4.03369     4.12162   0.0104551
         410     4.03208      4.1214   0.0104318
         411     4.03087     4.12118   0.0104088
         412     4.03005     4.12096   0.0103859
         413     4.02964     4.12074   0.0103631
         414     4.02962     4.12052   0.0103404
         415     4.02998      4.1203   0.0103178
         416      4.0307     4.12009   0.0102952
         417     4.03175     4.11988   0.0102727
         418     4.03311     4.11967   0.0102502
         419     4.03473     4.11947   0.0102278
         420     4.03658     4.11927   0.0102053
         421     4.03861     4.11908   0.0101829
         422     4.04077     4.11889   0.0101604
         423     4.04302     4.11871    0.010138
         424     4.04531     4.11854   0.0101156
         425     4.04759     4.11837   0.0100931
         426     4.04981     4.11821   0.0100707
         427     4.05193     4.11805   0.0100483
         428     4.05391     4.11791    0.010026
         429      4.0557     4.11776   0.0100037
         430     4.05727     4.11762  0.00998139
         431     4.05858     4.11748  0.00995917
         432      4.0596     4.11735  0.00993702
         433     4.06031     4.11722  0.00991494
         434     4.06069     4.11709  0.00989295
         435      4.0607     4.11696  0.00987106
         436     4.06035     4.11683  0.00984927
         437     4.05961      4.1167   0.0098276
         438     4.05847     4.11656  0.00980607
         439     4.05695     4.11643  0.00978467
         440     4.05502     4.11629  0.00976343
         441     4.05271     4.11614  0.00974235
         442     4.05002     4.11599  0.00972146
         443     4.04695     4.11584  0.00970076
         444     4.04354     4.11568  0.00968028
         445     4.03979      4.1155  0.00966003
         446     4.03574     4.11533  0.00964003
         447     4.03143     4.11514  0.00962029
         448     4.02687     4.11494  0.00960083
         449     4.02212     4.11473  0.00958167
         450     4.01723     4.11452  0.00956283
         451     4.01222     4.11429  0.00954432
         452     4.00717     4.11405  0.00952614
         453     4.00211     4.11381  0.00950832
         454     3.99711     4.11355  0.00949085
         455     3.99221     4.11328  0.00947374
         456     3.98747     4.11301  0.00945698
         457     3.98294     4.11272  0.00944056
         458     3.97865     4.11243  0.00942449
         459     3.97466     4.11213  0.00940873
         460       3.971     4.11182  0.00939328
         461     3.96769     4.11151  0.00937811
         462     3.96475     4.11119  0.00936319
         463      3.9622     4.11087  0.00934849
         464     3.96004     4.11055    0.009334
         465     3.95827     4.11022  0.00931967
         466     3.95688     4.10989  0.00930547
         467     3.95586     4.10956  0.00929139
         468     3.95519     4.10923  0.00927739
         469     3.95484      4.1089  0.00926345
         470     3.95478     4.10857  0.00924954
         471     3.95499     4.10825  0.00923565
         472     3.95543     4.10792  0.00922175
         473     3.95608      4.1076  0.00920784
         474      3.9569     4.10728   0.0091939
         475     3.95787     4.10697  0.00917993
         476     3.95896     4.10666  0.00916591
         477     3.96014     4.10635  0.00915184
         478     3.96139     4.10605  0.00913771
         479     3.96269     4.10575  0.00912354
         480     3.96403     4.10545  0.00910931
         481     3.96539     4.10516  0.00909502
         482     3.96676     4.10487  0.00908068
         483     3.96814     4.10459   0.0090663
         484     3.96951     4.10431  0.00905186
         485     3.97089     4.10404  0.00903737
         486     3.97227     4.10377  0.00902284
         487     3.97364      4.1035  0.00900827
         488     3.97503     4.10324  0.00899366
         489     3.97642     4.10298  0.00897901
         490     3.97783     4.10272  0.00896431
         491     3.97927     4.10247  0.00894958
         492     3.98074     4.10222  0.00893481
         493     3.98226     4.10198     0.00892
         494     3.98383     4.10174  0.00890515
         495     3.98547     4.10151  0.00889025
         496     3.98718     4.10127  0.00887532
         497     3.98898     4.10105  0.00886034
         498     3.99086     4.10083  0.00884531
         499     3.99286     4.10061  0.00883023
         500     3.99496      4.1004  0.00881509
         501     3.99718     4.10019  0.00879991
         502     3.99952     4.09999  0.00878466
         503     4.00198      4.0998  0.00876936
         504     4.00458     4.09961  0.00875399
         505      4.0073     4.09943  0.00873857
         506     4.01014     4.09925  0.00872308
         507     4.01309     4.09908  0.00870753
         508     4.01615     4.09892  0.00869192
         509      4.0193     4.09876  0.00867625
         510     4.02252     4.09861  0.00866052
         511     4.02579     4.09847  0.00864475
         512     4.02908     4.09833  0.00862893
         513     4.03237      4.0982  0.00861306
         514     4.03563     4.09808  0.00859717
         515     4.03881     4.09797  0.00858124
         516     4.04189     4.09786   0.0085653
         517     4.04481     4.09776  0.00854935
         518     4.04755     4.09766  0.00853339
         519     4.05005     4.09757  0.00851745
         520     4.05228     4.09748  0.00850151
         521     4.05419      4.0974   0.0084856
         522     4.05575     4.09732  0.00846972
         523     4.05691     4.09724  0.00845388
         524     4.05764     4.09716  0.00843808
         525     4.05791     4.09709  0.00842234
         526     4.05769     4.09702  0.00840666
         527     4.05696     4.09694  0.00839105
         528     4.05571     4.09686  0.00837552
         529     4.05394     4.09678  0.00836008
         530     4.05164     4.09669  0.00834474
         531     4.04882      4.0966  0.00832952
         532     4.04552     4.09651  0.00831441
         533     4.04176     4.09641  0.00829945
         534     4.03758      4.0963  0.00828464
         535     4.03304     4.09618  0.00826999
         536      4.0282     4.09605  0.00825554
         537     4.02314     4.09591  0.00824128
