#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         338     -1.4675    -1.43724   0.0126191
         339    -1.46977    -1.43734   0.0125823
         340    -1.47158    -1.43744   0.0125456
         341    -1.47293    -1.43754   0.0125093
         342    -1.47384    -1.43765   0.0124732
         343    -1.47433    -1.43776   0.0124373
         344     -1.4744    -1.43786   0.0124016
         345    -1.47408    -1.43797   0.0123661
         346     -1.4734    -1.43807   0.0123307
         347    -1.47237    -1.43817   0.0122956
         348    -1.47105    -1.43826   0.0122606
         349    -1.46946    -1.43835   0.0122258
         350    -1.46763    -1.43844   0.0121912
         351    -1.46561    -1.43851   0.0121567
         352    -1.46344    -1.43858   0.0121224
         353    -1.46118    -1.43865   0.0120882
         354    -1.45886    -1.43871   0.0120542
         355    -1.45652    -1.43876   0.0120203
         356    -1.45422     -1.4388   0.0119866
         357    -1.45198    -1.43884   0.0119531
         358    -1.44986    -1.43887   0.0119198
         359    -1.44787    -1.43889   0.0118866
         360    -1.44605    -1.43891   0.0118536
         361    -1.44442    -1.43893   0.0118208
         362    -1.44299    -1.43894   0.0117881
         363    -1.44176    -1.43895   0.0117557
         364    -1.44074    -1.43895   0.0117234
         365    -1.43992    -1.43895   0.0116912
         366    -1.43928    -1.43895   0.0116593
         367    -1.43881    -1.43895   0.0116275
         368    -1.43847    -1.43895   0.0115959
         369    -1.43825    -1.43895   0.0115645
         370    -1.43811    -1.43895   0.0115332
         371    -1.43802    -1.43895   0.0115022
         372    -1.43794    -1.43894   0.0114712
         373    -1.43784    -1.43894   0.0114405
         374    -1.43769    -1.43894   0.0114099
         375    -1.43745    -1.43893   0.0113795
         376    -1.43711    -1.43893   0.0113492
         377    -1.43661    -1.43892   0.0113191
         378    -1.43595    -1.43891   0.0112892
         379    -1.43511     -1.4389   0.0112594
         380    -1.43406    -1.43889   0.0112298
         381     -1.4328    -1.43888   0.0112003
         382    -1.43131    -1.43886    0.011171
         383    -1.42958    -1.43883   0.0111419
         384    -1.42762     -1.4388   0.0111129
         385    -1.42541    -1.43877   0.0110841
         386    -1.42297    -1.43873   0.0110554
         387    -1.42029    -1.43868    0.011027
         388    -1.41739    -1.43862   0.0109987
         389    -1.41427    -1.43856   0.0109706
         390    -1.41095    -1.43849   0.0109427
         391    -1.40745    -1.43841    0.010915
         392    -1.40378    -1.43832   0.0108875
         393    -1.39997    -1.43823   0.0108602
         394    -1.39603    -1.43812   0.0108332
         395    -1.39202      -1.438   0.0108064
         396    -1.38794    -1.43787   0.0107798
         397    -1.38383    -1.43774   0.0107536
         398    -1.37973    -1.43759   0.0107275
         399    -1.37568    -1.43744   0.0107018
         400     -1.3717    -1.43727   0.0106763
         401    -1.36784     -1.4371    0.010651
         402    -1.36415    -1.43692   0.0106261
         403    -1.36065    -1.43673   0.0106014
         404    -1.35739    -1.43653    0.010577
         405     -1.3544    -1.43633   0.0105528
         406    -1.35172    -1.43612   0.0105289
         407    -1.34937    -1.43591   0.0105052
         408    -1.34738    -1.43569   0.0104817
         409    -1.34577    -1.43547   0.0104583
         410    -1.34455    -1.43525   0.0104352
         411    -1.34372    -1.43503   0.0104122
         412     -1.3433    -1.43481   0.0103893
         413    -1.34328    -1.43458   0.0103665
         414    -1.34364    -1.43436   0.0103438
         415    -1.34436    -1.43415   0.0103211
         416    -1.34542    -1.43393   0.0102985
         417    -1.34678    -1.43372   0.0102759
         418     -1.3484    -1.43352   0.0102534
         419    -1.35025    -1.43332   0.0102308
         420    -1.35228    -1.43313   0.0102083
         421    -1.35444    -1.43294   0.0101858
         422    -1.35669    -1.43276   0.0101632
         423    -1.35898    -1.43259   0.0101407
         424    -1.36126    -1.43242   0.0101182
         425    -1.36348    -1.43226   0.0100957
         426     -1.3656     -1.4321   0.0100732
         427    -1.36758    -1.43195   0.0100507
         428    -1.36937     -1.4318   0.0100283
         429    -1.37094    -1.43166   0.0100059
         430    -1.37226    -1.43152  0.00998362
         431    -1.37328    -1.43139  0.00996137
         432    -1.37398    -1.43125   0.0099392
         433    -1.37436    -1.43112  0.00991711
         434    -1.37437    -1.43099  0.00989512
         435    -1.37401    -1.43086  0.00987324
         436    -1.37328    -1.43073  0.00985148
         437    -1.37215     -1.4306  0.00982985
         438    -1.37061    -1.43046  0.00980836
         439    -1.36869    -1.43032  0.00978703
         440    -1.36636    -1.43017  0.00976586
         441    -1.36366    -1.43002  0.00974488
         442     -1.3606    -1.42986   0.0097241
         443    -1.35718     -1.4297  0.00970353
         444    -1.35343    -1.42953   0.0096832
         445    -1.34937    -1.42935  0.00966311
         446    -1.34505    -1.42916   0.0096433
         447    -1.34048    -1.42896  0.00962376
         448    -1.33572    -1.42875  0.00960453
         449    -1.33081    -1.42853  0.00958562
         450     -1.3258    -1.42831  0.00956704
         451    -1.32074    -1.42807   0.0095488
         452    -1.31567    -1.42782  0.00953091
         453    -1.31067    -1.42756  0.00951338
         454    -1.30577    -1.42729   0.0094962
         455    -1.30102    -1.42701  0.00947939
         456    -1.29648    -1.42673  0.00946292
         457    -1.29218    -1.42643  0.00944679
         458    -1.28819    -1.42613  0.00943099
         459     -1.2845    -1.42582  0.00941549
         460    -1.28119    -1.42551  0.00940027
         461    -1.27824    -1.42519   0.0093853
         462    -1.27569    -1.42487  0.00937056
         463    -1.27354    -1.42454  0.00935602
         464    -1.27176    -1.42421  0.00934165
         465    -1.27037    -1.42388  0.00932742
         466    -1.26935    -1.42355   0.0093133
         467    -1.26868    -1.42322  0.00929925
         468    -1.26833    -1.42289  0.00928527
         469    -1.26826    -1.42256  0.00927133
         470    -1.26847    -1.42223  0.00925739
         471    -1.26891     -1.4219  0.00924346
         472    -1.26956    -1.42158  0.00922951
         473    -1.27038    -1.42126  0.00921553
         474    -1.27134    -1.42094  0.00920152
         475    -1.27242    -1.42063  0.00918745
         476    -1.27359    -1.42032  0.00917334
         477    -1.27484    -1.42002  0.00915918
