#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         620     2.95867     2.97877 0.000988467
         621     2.95505     2.97873 0.000987612
         622     2.95144     2.97868 0.000986998
         623     2.94788     2.97864 0.000986652
         624     2.94437     2.97858 0.000986598
         625     2.94096     2.97852 0.000986854
         626     2.93765     2.97846 0.000987435
         627     2.93448     2.97838 0.000988348
         628     2.93148     2.97831 0.000989592
         629     2.92866     2.97823 0.000991162
         630     2.92605     2.97815 0.000993044
         631     2.92368     2.97806 0.000995214
         632     2.92157     2.97797 0.000997646
         633     2.91973     2.97788   0.0010003
         634     2.91818     2.97779  0.00100315
         635     2.91693     2.97769  0.00100614
         636       2.916     2.97759  0.00100922
         637      2.9154      2.9775  0.00101235
         638     2.91512      2.9774  0.00101547
         639     2.91517      2.9773  0.00101854
         640     2.91554      2.9772  0.00102151
         641     2.91623     2.97711  0.00102434
         642     2.91724     2.97702  0.00102698
         643     2.91854     2.97693   0.0010294
         644     2.92012     2.97684  0.00103157
         645     2.92197     2.97675  0.00103347
         646     2.92407     2.97667  0.00103509
         647     2.92639     2.97659   0.0010364
         648     2.92892     2.97652  0.00103741
         649     2.93163     2.97645  0.00103811
         650      2.9345     2.97639  0.00103852
         651      2.9375     2.97633  0.00103864
         652     2.94061     2.97627  0.00103849
         653     2.94381     2.97622  0.00103809
         654     2.94707     2.97618  0.00103746
         655     2.95038     2.97614  0.00103662
         656     2.95371      2.9761  0.00103561
         657     2.95704     2.97607  0.00103444
         658     2.96036     2.97605  0.00103314
         659     2.96365     2.97603  0.00103174
         660     2.96689     2.97602  0.00103027
         661     2.97007     2.97601  0.00102875
         662     2.97317       2.976  0.00102721
         663     2.97619       2.976  0.00102566
         664     2.97912     2.97601  0.00102413
         665     2.98194     2.97602  0.00102262
         666     2.98466     2.97603  0.00102117
         667     2.98725     2.97605  0.00101978
         668     2.98973     2.97607  0.00101846
         669     2.99208     2.97609  0.00101722
         670      2.9943     2.97612  0.00101606
         671     2.99639     2.97615    0.001015
         672     2.99835     2.97618  0.00101402
         673     3.00018     2.97622  0.00101314
         674     3.00188     2.97626  0.00101235
         675     3.00344      2.9763  0.00101166
         676     3.00488     2.97634  0.00101104
         677     3.00619     2.97638  0.00101051
         678     3.00738     2.97643  0.00101005
         679     3.00844     2.97648  0.00100967
         680     3.00939     2.97652  0.00100934
         681     3.01022     2.97657  0.00100907
         682     3.01093     2.97662  0.00100885
         683     3.01153     2.97668  0.00100866
         684     3.01203     2.97673  0.00100851
         685     3.01243     2.97678  0.00100839
         686     3.01273     2.97683  0.00100828
         687     3.01294     2.97688  0.00100818
         688     3.01305     2.97694  0.00100808
         689     3.01308     2.97699  0.00100798
         690     3.01303     2.97704  0.00100788
         691     3.01289     2.97709  0.00100775
         692     3.01269     2.97714  0.00100761
         693      3.0124      2.9772  0.00100744
         694     3.01206     2.97725  0.00100724
         695     3.01164      2.9773    0.001007
         696     3.01116     2.97734  0.00100673
         697     3.01062     2.97739  0.00100642
         698     3.01003     2.97744  0.00100606
         699     3.00937     2.97748  0.00100566
         700     3.00866     2.97753  0.00100521
         701      3.0079     2.97757  0.00100471
         702     3.00708     2.97761  0.00100415
         703     3.00621     2.97765  0.00100355
         704     3.00528     2.97769  0.00100289
         705     3.00431     2.97773  0.00100218
         706     3.00328     2.97777  0.00100141
         707      3.0022      2.9778  0.00100059
         708     3.00106     2.97784 0.000999718
         709     2.99987     2.97787 0.000998791
         710     2.99863      2.9779 0.000997812
         711     2.99733     2.97792 0.000996783
         712     2.99598     2.97795 0.000995705
         713     2.99458     2.97797 0.000994582
         714     2.99312     2.97799 0.000993415
