#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         241   -0.290613   -0.286786  0.00199651
         242   -0.291778   -0.286807  0.00198837
         243   -0.292831   -0.286831  0.00198034
         244   -0.293768    -0.28686  0.00197243
         245   -0.294605   -0.286891  0.00196463
         246   -0.295341   -0.286926  0.00195694
         247   -0.295987   -0.286962  0.00194936
         248   -0.296549   -0.287001  0.00194189
         249   -0.297033   -0.287041  0.00193451
         250   -0.297437   -0.287083  0.00192722
         251    -0.29777   -0.287125  0.00192001
         252   -0.298046   -0.287169  0.00191288
         253    -0.29826   -0.287213  0.00190582
         254    -0.29842   -0.287257  0.00189883
         255   -0.298531   -0.287301  0.00189189
         256   -0.298591   -0.287345  0.00188502
         257   -0.298607   -0.287389  0.00187819
         258   -0.298582   -0.287432  0.00187141
         259   -0.298518   -0.287475  0.00186468
         260   -0.298421   -0.287517  0.00185798
         261   -0.298287   -0.287558  0.00185132
         262   -0.298123   -0.287599  0.00184469
         263   -0.297937   -0.287638   0.0018381
         264   -0.297722   -0.287676  0.00183153
         265    -0.29749   -0.287713    0.001825
         266   -0.297232   -0.287749  0.00181849
         267   -0.296956   -0.287784    0.001812
         268   -0.296663   -0.287817  0.00180554
         269   -0.296358   -0.287848  0.00179911
         270   -0.296037   -0.287879   0.0017927
         271   -0.295709   -0.287908  0.00178632
         272   -0.295364   -0.287935  0.00177996
         273   -0.295017   -0.287961  0.00177363
         274   -0.294669   -0.287986  0.00176733
         275   -0.294313   -0.288009  0.00176105
         276   -0.293955    -0.28803   0.0017548
         277   -0.293601    -0.28805  0.00174858
         278   -0.293249   -0.288069  0.00174239
         279   -0.292897   -0.288086  0.00173623
         280   -0.292548   -0.288102  0.00173011
         281   -0.292211   -0.288117  0.00172401
         282    -0.29187    -0.28813  0.00171795
         283   -0.291545   -0.288142  0.00171192
         284   -0.291228   -0.288153  0.00170593
         285   -0.290922   -0.288163  0.00169997
         286   -0.290628   -0.288171  0.00169405
         287   -0.290348   -0.288179  0.00168816
         288   -0.290083   -0.288186  0.00168231
         289   -0.289835   -0.288191   0.0016765
         290   -0.289601   -0.288196  0.00167073
         291   -0.289385     -0.2882  0.00166499
         292   -0.289185   -0.288204  0.00165929
         293   -0.289004   -0.288206  0.00165363
         294   -0.288836   -0.288208  0.00164801
         295   -0.288688    -0.28821  0.00164242
         296   -0.288557   -0.288211  0.00163687
         297   -0.288444   -0.288212  0.00163136
         298   -0.288345   -0.288212  0.00162589
         299   -0.288265   -0.288213  0.00162045
         300   -0.288197   -0.288213  0.00161505
         301   -0.288147   -0.288212  0.00160968
         302    -0.28811   -0.288212  0.00160435
         303   -0.288081   -0.288212  0.00159906
         304   -0.288067   -0.288211   0.0015938
         305   -0.288068   -0.288211  0.00158857
         306   -0.288071    -0.28821  0.00158338
         307   -0.288081    -0.28821  0.00157823
         308   -0.288096   -0.288209   0.0015731
         309   -0.288113   -0.288209  0.00156801
         310   -0.288126   -0.288209  0.00156295
         311   -0.288142   -0.288209  0.00155793
         312   -0.288157   -0.288208  0.00155293
         313    -0.28816   -0.288208  0.00154797
         314   -0.288162   -0.288208  0.00154304
         315   -0.288155   -0.288208  0.00153814
         316   -0.288133   -0.288208  0.00153328
         317   -0.288098   -0.288207  0.00152844
         318   -0.288044   -0.288207  0.00152363
         319   -0.287977   -0.288206  0.00151886
         320   -0.287886   -0.288205  0.00151411
         321   -0.287775   -0.288204  0.00150939
         322   -0.287641   -0.288202  0.00150471
         323    -0.28748     -0.2882  0.00150005
         324   -0.287291   -0.288197  0.00149542
         325   -0.287076   -0.288194  0.00149083
         326    -0.28683   -0.288189  0.00148626
         327   -0.286562   -0.288184  0.00148172
         328   -0.286263   -0.288179  0.00147722
         329   -0.285936   -0.288172  0.00147274
         330   -0.285575   -0.288164   0.0014683
         331   -0.285177   -0.288155  0.00146389
         332    -0.28475   -0.288145  0.00145952
         333   -0.284293   -0.288133  0.00145518
         334   -0.283806    -0.28812  0.00145088
         335   -0.283288   -0.288106  0.00144662
         336   -0.282741    -0.28809  0.00144241
         337   -0.282163   -0.288072  0.00143823
         338   -0.281562   -0.288053  0.00143411
         339   -0.280934   -0.288032  0.00143003
         340   -0.280284   -0.288009  0.00142601
         341   -0.279613   -0.287984  0.00142204
         342   -0.278931   -0.287958  0.00141812
         343   -0.278229    -0.28793  0.00141427
         344   -0.277514   -0.287899  0.00141049
         345   -0.276788   -0.287867  0.00140677
         346   -0.276053   -0.287833  0.00140311
         347   -0.275316   -0.287797  0.00139953
         348   -0.274579   -0.287759  0.00139603
         349   -0.273844   -0.287719   0.0013926
         350   -0.273113   -0.287677  0.00138924
         351   -0.272388   -0.287634  0.00138597
         352   -0.271669   -0.287588  0.00138277
         353   -0.270968   -0.287541  0.00137966
         354   -0.270282   -0.287493  0.00137662
         355    -0.26961   -0.287442  0.00137366
         356   -0.268954    -0.28739  0.00137079
         357    -0.26832   -0.287337  0.00136799
         358   -0.267705   -0.287282  0.00136527
         359   -0.267112   -0.287226  0.00136262
         360   -0.266534   -0.287168  0.00136004
         361   -0.265986    -0.28711  0.00135754
         362   -0.265461    -0.28705  0.00135511
         363   -0.264959   -0.286989  0.00135274
         364   -0.264476   -0.286927  0.00135044
         365   -0.264015   -0.286864   0.0013482
         366   -0.263576   -0.286801  0.00134601
         367   -0.263154   -0.286736  0.00134389
         368   -0.262743   -0.286671  0.00134182
         369   -0.262356   -0.286605   0.0013398
         370   -0.261982   -0.286539  0.00133783
         371   -0.261619   -0.286472  0.00133591
         372   -0.261269   -0.286404  0.00133403
         373   -0.260924   -0.286335   0.0013322
         374   -0.260582   -0.286267  0.00133042
         375   -0.260244   -0.286197  0.00132868
         376    -0.25991   -0.286127  0.00132699
         377   -0.259579   -0.286057  0.00132533
         378   -0.259248   -0.285986  0.00132372
         379   -0.258911   -0.285915  0.00132216
         380   -0.258567   -0.285843  0.00132063
         381   -0.258225    -0.28577  0.00131916
         382   -0.257876   -0.285697  0.00131772
         383   -0.257522   -0.285623  0.00131633
         384   -0.257165   -0.285549  0.00131499
         385   -0.256814   -0.285475  0.00131369
         386   -0.256463     -0.2854  0.00131244
         387   -0.256115   -0.285324  0.00131122
         388   -0.255768   -0.285248  0.00131006
         389   -0.255429   -0.285171  0.00130893
         390   -0.255104   -0.285094  0.00130784
         391   -0.254794   -0.285016  0.00130679
         392    -0.25451   -0.284939  0.00130577
         393   -0.254248   -0.284861  0.00130478
         394   -0.254018   -0.284782  0.00130382
         395   -0.253824   -0.284704  0.00130287
         396   -0.253681   -0.284626  0.00130193
         397   -0.253586   -0.284547    0.001301
         398   -0.253545   -0.284469  0.00130006
         399   -0.253566   -0.284392  0.00129911
         400   -0.253658   -0.284315  0.00129813
         401   -0.253824   -0.284239  0.00129712
         402   -0.254069   -0.284164  0.00129606
         403   -0.254396    -0.28409  0.00129495
         404   -0.254806   -0.284018  0.00129377
         405   -0.255311   -0.283947  0.00129251
         406   -0.255907   -0.283878  0.00129117
         407   -0.256593   -0.283811  0.00128974
         408   -0.257375   -0.283746  0.00128821
         409   -0.258248   -0.283684  0.00128656
         410   -0.259211   -0.283624  0.00128481
         411   -0.260263   -0.283567  0.00128294
         412   -0.261395   -0.283513  0.00128095
         413   -0.262605   -0.283463  0.00127885
         414    -0.26389   -0.283415  0.00127664
         415   -0.265237   -0.283372  0.00127431
         416   -0.266646   -0.283331  0.00127188
         417   -0.268102   -0.283295  0.00126936
         418   -0.269608   -0.283262  0.00126674
         419   -0.271145   -0.283233  0.00126405
         420   -0.272705   -0.283208  0.00126129
         421   -0.274291   -0.283187  0.00125847
         422   -0.275885    -0.28317  0.00125561
         423   -0.277485   -0.283156  0.00125271
         424   -0.279082   -0.283147  0.00124979
         425   -0.280671   -0.283141  0.00124687
         426   -0.282242   -0.283139  0.00124394
         427   -0.283792    -0.28314  0.00124103
         428   -0.285312   -0.283145  0.00123814
         429   -0.286789   -0.283154  0.00123528
         430   -0.288239   -0.283166  0.00123247
         431    -0.28965   -0.283181   0.0012297
         432   -0.291011   -0.283199  0.00122699
         433   -0.292327    -0.28322  0.00122433
         434   -0.293587   -0.283244  0.00122174
         435   -0.294799    -0.28327  0.00121923
         436   -0.295963   -0.283299  0.00121678
         437    -0.29707   -0.283331   0.0012144
         438   -0.298121   -0.283365   0.0012121
         439   -0.299121   -0.283401  0.00120987
         440   -0.300057   -0.283438  0.00120771
         441   -0.300941   -0.283478  0.00120562
         442   -0.301764   -0.283519   0.0012036
         443   -0.302532   -0.283562  0.00120165
         444   -0.303243   -0.283607  0.00119976
         445   -0.303895   -0.283652  0.00119793
         446   -0.304496   -0.283699  0.00119616
         447   -0.305041   -0.283747  0.00119443
         448   -0.305525   -0.283795  0.00119276
         449   -0.305957   -0.283845  0.00119112
         450   -0.306329   -0.283895  0.00118952
         451   -0.306643   -0.283945  0.00118795
         452   -0.306902   -0.283996  0.00118641
         453   -0.307109   -0.284047  0.00118489
         454   -0.307253   -0.284098  0.00118338
         455    -0.30734   -0.284149  0.00118188
         456   -0.307374     -0.2842  0.00118039
         457   -0.307351   -0.284251  0.00117889
         458   -0.307261   -0.284301  0.00117739
         459   -0.307114   -0.284351  0.00117587
         460     -0.3069     -0.2844  0.00117434
         461   -0.306624   -0.284448  0.00117278
         462   -0.306286   -0.284495  0.00117119
         463   -0.305879   -0.284541  0.00116957
         464   -0.305404   -0.284586  0.00116791
         465   -0.304858    -0.28463  0.00116622
         466   -0.304245   -0.284672  0.00116447
         467   -0.303561   -0.284713  0.00116268
         468   -0.302805   -0.284751  0.00116084
         469   -0.301975   -0.284788  0.00115895
         470   -0.301074   -0.284823    0.001157
         471   -0.300105   -0.284855    0.001155
         472   -0.299065   -0.284885  0.00115294
         473   -0.297953   -0.284913  0.00115083
         474   -0.296774   -0.284938  0.00114868
         475   -0.295535    -0.28496  0.00114648
         476   -0.294234    -0.28498  0.00114423
         477    -0.29288   -0.284996  0.00114196
         478   -0.291478    -0.28501  0.00113965
         479   -0.290034    -0.28502  0.00113732
         480   -0.288554   -0.285028  0.00113497
         481   -0.287051   -0.285032  0.00113262
         482   -0.285532   -0.285033  0.00113027
         483   -0.284009   -0.285031  0.00112793
         484   -0.282494   -0.285025  0.00112561
         485   -0.280998   -0.285017  0.00112332
         486   -0.279533   -0.285006  0.00112107
         487   -0.278114   -0.284992  0.00111886
         488   -0.276759   -0.284975  0.00111669
         489   -0.275474   -0.284955  0.00111457
         490   -0.274275   -0.284934  0.00111251
         491   -0.273177    -0.28491  0.00111051
         492   -0.272186   -0.284884  0.00110855
         493   -0.271315   -0.284856  0.00110664
         494   -0.270562   -0.284827  0.00110478
         495   -0.269943   -0.284797  0.00110296
         496   -0.269462   -0.284766  0.00110117
         497   -0.269115   -0.284735   0.0010994
         498   -0.268909   -0.284703  0.00109765
         499   -0.268833   -0.284671  0.00109591
         500   -0.268877    -0.28464  0.00109418
         501   -0.269046   -0.284609  0.00109244
         502   -0.269325   -0.284578  0.00109068
         503   -0.269698   -0.284548  0.00108892
         504   -0.270156    -0.28452  0.00108713
         505   -0.270679   -0.284493  0.00108532
         506   -0.271266   -0.284466  0.00108349
         507   -0.271885   -0.284442  0.00108164
         508   -0.272518   -0.284418  0.00107977
         509   -0.273164   -0.284396  0.00107787
         510   -0.273794   -0.284375  0.00107596
         511     -0.2744   -0.284356  0.00107403
         512   -0.274968   -0.284337  0.00107209
         513   -0.275485    -0.28432  0.00107014
         514   -0.275939   -0.284304  0.00106818
         515   -0.276322   -0.284288  0.00106622
         516   -0.276627   -0.284273  0.00106425
         517    -0.27685   -0.284259  0.00106229
         518   -0.276987   -0.284245  0.00106033
         519   -0.277034   -0.284231  0.00105838
         520   -0.276994   -0.284217  0.00105644
         521   -0.276873   -0.284203  0.00105451
         522   -0.276668   -0.284189  0.00105258
         523   -0.276392   -0.284174  0.00105068
         524   -0.276052   -0.284158  0.00104879
         525   -0.275662   -0.284142  0.00104691
         526   -0.275231   -0.284125  0.00104506
         527   -0.274772   -0.284107  0.00104323
         528   -0.274298   -0.284089  0.00104142
         529   -0.273823   -0.284069  0.00103963
         530   -0.273367   -0.284049  0.00103786
         531   -0.272944   -0.284028  0.00103612
         532   -0.272568   -0.284007   0.0010344
         533   -0.272253   -0.283985  0.00103269
         534   -0.272013   -0.283962    0.001031
         535   -0.271865    -0.28394  0.00102932
         536   -0.271814   -0.283917  0.00102765
         537   -0.271873   -0.283895  0.00102598
         538   -0.272059   -0.283873  0.00102431
         539   -0.272373   -0.283851  0.00102263
         540    -0.27282   -0.283831  0.00102094
         541   -0.273404   -0.283812  0.00101924
         542   -0.274125   -0.283794  0.00101751
         543   -0.274986   -0.283778  0.00101577
         544   -0.275987   -0.283763    0.001014
         545   -0.277119   -0.283751  0.00101221
         546   -0.278374   -0.283741  0.00101041
         547   -0.279744   -0.283734  0.00100859
         548   -0.281227   -0.283729  0.00100676
         549   -0.282809   -0.283728  0.00100492
         550   -0.284477   -0.283729   0.0010031
         551   -0.286222   -0.283733  0.00100129
         552   -0.288032   -0.283741 0.000999505
         553   -0.289897   -0.283752 0.000997759
         554   -0.291804   -0.283767 0.000996064
         555   -0.293742   -0.283785 0.000994431
         556   -0.295705   -0.283806 0.000992874
         557   -0.297672   -0.283831 0.000991403
         558   -0.299639    -0.28386 0.000990031
         559   -0.301597   -0.283891 0.000988769
         560    -0.30353   -0.283926 0.000987625
         561    -0.30544   -0.283965 0.000986608
         562   -0.307316   -0.284006 0.000985728
         563   -0.309149   -0.284051 0.000984988
         564   -0.310938   -0.284099 0.000984394
         565    -0.31267   -0.284149  0.00098395
         566   -0.314344   -0.284203 0.000983657
         567    -0.31596   -0.284259 0.000983515
         568   -0.317501   -0.284317 0.000983523
         569   -0.318978   -0.284378  0.00098368
         570   -0.320384   -0.284441  0.00098398
         571   -0.321718   -0.284506  0.00098442
         572   -0.322969   -0.284574 0.000984993
         573   -0.324139   -0.284643 0.000985691
         574   -0.325237   -0.284713 0.000986508
         575   -0.326247   -0.284786 0.000987433
         576   -0.327173   -0.284859 0.000988457
         577   -0.328016   -0.284934  0.00098957
         578   -0.328771    -0.28501  0.00099076
         579   -0.329434   -0.285087 0.000992015
         580   -0.330009   -0.285164 0.000993324
         581   -0.330496   -0.285242 0.000994673
         582   -0.330891   -0.285321 0.000996052
         583   -0.331189   -0.285399 0.000997446
         584   -0.331394   -0.285478 0.000998843
         585   -0.331501   -0.285557  0.00100023
         586   -0.331511   -0.285635  0.00100159
         587   -0.331426   -0.285713  0.00100292
         588   -0.331238    -0.28579   0.0010042
         589   -0.330941   -0.285867  0.00100541
         590   -0.330542   -0.285943  0.00100656
         591   -0.330038   -0.286017  0.00100761
         592   -0.329422   -0.286091  0.00100858
         593   -0.328689   -0.286163  0.00100943
         594   -0.327847   -0.286233  0.00101017
         595   -0.326891   -0.286301  0.00101078
         596   -0.325813   -0.286367  0.00101125
         597   -0.324612   -0.286432  0.00101159
         598   -0.323289   -0.286493  0.00101177
         599    -0.32184   -0.286552   0.0010118
         600   -0.320262   -0.286608  0.00101167
         601   -0.318557   -0.286661  0.00101139
         602   -0.316719   -0.286711  0.00101094
         603   -0.314746   -0.286758  0.00101033
         604    -0.31264   -0.286801  0.00100957
         605   -0.310398    -0.28684  0.00100865
         606   -0.308021   -0.286875  0.00100759
         607   -0.305508   -0.286905   0.0010064
         608   -0.302868   -0.286932  0.00100509
         609   -0.300092   -0.286953  0.00100367
         610   -0.297195    -0.28697  0.00100216
         611   -0.294176   -0.286982  0.00100059
         612   -0.291046   -0.286988 0.000998979
         613   -0.287816    -0.28699 0.000997351
         614   -0.284481   -0.286986 0.000995735
         615   -0.281067   -0.286976 0.000994162
         616   -0.277575   -0.286961 0.000992665
         617   -0.274028    -0.28694 0.000991278
         618   -0.270437   -0.286913 0.000990033
         619   -0.266823   -0.286881 0.000988966
         620     -0.2632   -0.286843 0.000988108
         621    -0.25959   -0.286799 0.000987491
         622   -0.256019   -0.286749 0.000987142
         623   -0.252518   -0.286694 0.000987086
         624   -0.249104   -0.286634  0.00098734
         625   -0.245799   -0.286569  0.00098792
         626    -0.24263   -0.286498 0.000988832
         627    -0.23962   -0.286424 0.000990078
         628   -0.236801   -0.286345 0.000991649
         629   -0.234197   -0.286262 0.000993532
         630   -0.231824   -0.286175 0.000995706
         631   -0.229708   -0.286086 0.000998141
         632   -0.227864   -0.285994   0.0010008
         633   -0.226314   -0.285899  0.00100365
         634   -0.225066   -0.285804  0.00100665
         635   -0.224137   -0.285706  0.00100974
         636   -0.223528   -0.285609  0.00101287
         637   -0.223247   -0.285511    0.001016
         638   -0.223301   -0.285413  0.00101908
         639   -0.223678   -0.285317  0.00102205
         640   -0.224372   -0.285221  0.00102488
         641   -0.225378   -0.285128  0.00102752
         642   -0.226684   -0.285037  0.00102995
         643    -0.22827   -0.284949  0.00103212
         644   -0.230121   -0.284864  0.00103403
         645   -0.232219   -0.284782  0.00103564
         646   -0.234546   -0.284704  0.00103695
         647   -0.237075   -0.284631  0.00103796
         648   -0.239783   -0.284561  0.00103866
         649   -0.242651   -0.284497  0.00103907
         650   -0.245653   -0.284437  0.00103919
         651   -0.248766   -0.284382  0.00103903
         652   -0.251962   -0.284333  0.00103863
         653    -0.25523   -0.284288  0.00103799
         654   -0.258546   -0.284249  0.00103715
         655   -0.261877   -0.284214  0.00103613
         656    -0.26521   -0.284185  0.00103496
         657   -0.268532   -0.284162  0.00103366
         658    -0.27182   -0.284143  0.00103225
         659   -0.275063   -0.284129  0.00103078
         660   -0.278245    -0.28412  0.00102926
         661   -0.281348   -0.284116  0.00102771
         662   -0.284369   -0.284116  0.00102616
