#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         207     2.80238     2.71665   0.0129275
         208     2.79743     2.71704   0.0128712
         209     2.79237      2.7174   0.0128146
         210     2.78731     2.71773   0.0127579
         211     2.78237     2.71804   0.0127012
         212     2.77767     2.71832   0.0126444
         213     2.77335     2.71858   0.0125876
         214     2.76952     2.71882   0.0125311
         215     2.76631     2.71904   0.0124747
         216     2.76382     2.71924   0.0124187
         217     2.76214     2.71944    0.012363
         218     2.76134     2.71963   0.0123078
         219     2.76146     2.71982   0.0122531
         220     2.76252     2.72002   0.0121989
         221     2.76451     2.72022   0.0121454
         222      2.7674     2.72043   0.0120926
         223     2.77113     2.72066   0.0120405
         224     2.77561     2.72091   0.0119892
         225     2.78074     2.72117   0.0119389
         226     2.78641     2.72146   0.0118895
         227     2.79249     2.72177   0.0118413
         228     2.79884     2.72211   0.0117942
         229     2.80534     2.72247   0.0117483
         230     2.81186     2.72286   0.0117036
         231     2.81829     2.72328   0.0116602
         232      2.8245     2.72371   0.0116181
         233     2.83042     2.72417   0.0115773
         234     2.83595     2.72465   0.0115377
         235     2.84105     2.72514   0.0114992
         236     2.84565     2.72565   0.0114618
         237     2.84973     2.72618   0.0114254
         238     2.85327     2.72671   0.0113899
         239     2.85627     2.72725   0.0113551
         240     2.85873      2.7278    0.011321
         241     2.86066     2.72835   0.0112874
         242      2.8621     2.72891   0.0112543
         243     2.86308     2.72946   0.0112215
         244     2.86362     2.73001    0.011189
         245     2.86379     2.73055   0.0111567
         246     2.86361     2.73109   0.0111244
         247     2.86313     2.73163   0.0110922
         248     2.86241     2.73216     0.01106
         249     2.86148     2.73268   0.0110278
         250     2.86039     2.73319   0.0109955
         251     2.85918     2.73369   0.0109631
         252      2.8579     2.73418   0.0109307
         253     2.85657     2.73466   0.0108982
         254     2.85524     2.73514   0.0108656
         255     2.85394     2.73561    0.010833
         256     2.85268     2.73606   0.0108003
         257     2.85151     2.73651   0.0107677
         258     2.85043     2.73695    0.010735
         259     2.84947     2.73739   0.0107023
         260     2.84863     2.73782   0.0106697
         261     2.84793     2.73824   0.0106371
         262     2.84738     2.73865   0.0106047
         263     2.84698     2.73907   0.0105724
         264     2.84672     2.73947   0.0105402
         265      2.8466     2.73988   0.0105082
         266     2.84663     2.74028   0.0104763
         267     2.84678     2.74068   0.0104447
         268     2.84704     2.74108   0.0104132
         269      2.8474     2.74147    0.010382
         270     2.84785     2.74186    0.010351
         271     2.84835     2.74226   0.0103203
         272     2.84888     2.74265   0.0102898
         273     2.84943     2.74304   0.0102595
         274     2.84996     2.74343   0.0102295
         275     2.85044     2.74382   0.0101997
         276     2.85085     2.74421   0.0101701
         277     2.85115     2.74459   0.0101407
         278     2.85132     2.74498   0.0101115
         279     2.85132     2.74536   0.0100825
         280     2.85113     2.74574   0.0100535
         281     2.85071     2.74611   0.0100247
         282     2.85003     2.74648  0.00999592
         283     2.84907     2.74684  0.00996717
         284      2.8478      2.7472  0.00993841
         285      2.8462     2.74754  0.00990961
         286     2.84424     2.74788  0.00988073
         287     2.84192     2.74821  0.00985173
         288     2.83921     2.74853  0.00982259
         289     2.83611     2.74883  0.00979327
         290     2.83261     2.74912  0.00976376
         291      2.8287     2.74939  0.00973404
         292      2.8244     2.74965  0.00970409
         293      2.8197     2.74989  0.00967392
         294     2.81462     2.75011  0.00964352
         295     2.80918     2.75031  0.00961291
         296     2.80341     2.75049  0.00958211
         297     2.79733     2.75064  0.00955114
         298     2.79098     2.75078  0.00952005
         299     2.78441     2.75089  0.00948887
         300     2.77767     2.75098  0.00945766
         301     2.77082     2.75105  0.00942647
         302     2.76391     2.75109  0.00939536
         303     2.75702     2.75111  0.00936437
         304     2.75022     2.75111  0.00933357
         305     2.74357     2.75108    0.009303
         306     2.73717     2.75104  0.00927271
         307     2.73109     2.75097  0.00924273
         308     2.72539     2.75089  0.00921309
         309     2.72016     2.75079  0.00918381
         310     2.71546     2.75068   0.0091549
         311     2.71135     2.75055  0.00912633
         312     2.70788     2.75041  0.00909811
         313     2.70508     2.75027  0.00907019
         314       2.703     2.75012  0.00904255
         315     2.70163     2.74996  0.00901516
         316     2.70098     2.74981  0.00898796
         317     2.70104     2.74965  0.00896093
         318     2.70178      2.7495  0.00893401
         319     2.70316     2.74936  0.00890719
         320     2.70513     2.74922  0.00888042
         321     2.70763     2.74909   0.0088537
         322      2.7106     2.74897  0.00882701
         323     2.71397     2.74886  0.00880035
         324     2.71765     2.74877  0.00877372
         325     2.72158     2.74868  0.00874712
         326     2.72567     2.74861  0.00872057
         327     2.72986     2.74855  0.00869409
         328     2.73407     2.74851   0.0086677
         329     2.73825     2.74848  0.00864141
         330     2.74234     2.74846  0.00861524
         331     2.74629     2.74845  0.00858922
         332     2.75005     2.74846  0.00856335
         333     2.75359     2.74847  0.00853765
         334     2.75689      2.7485  0.00851212
         335     2.75992     2.74853  0.00848678
         336     2.76266     2.74858  0.00846163
         337      2.7651     2.74862  0.00843666
         338     2.76723     2.74868  0.00841188
         339     2.76906     2.74874  0.00838728
         340     2.77058      2.7488  0.00836286
         341     2.77178     2.74887   0.0083386
         342     2.77269     2.74894  0.00831451
         343      2.7733     2.74901  0.00829058
         344     2.77362     2.74908  0.00826678
         345     2.77368     2.74915  0.00824313
         346     2.77347     2.74923   0.0082196
         347     2.77301     2.74929   0.0081962
         348     2.77234     2.74936  0.00817292
         349     2.77146     2.74942  0.00814975
         350      2.7704     2.74948  0.00812668
         351     2.76918     2.74954  0.00810372
         352     2.76784     2.74959  0.00808087
         353      2.7664     2.74964  0.00805811
         354     2.76489     2.74968  0.00803547
         355     2.76335     2.74972  0.00801292
         356     2.76179     2.74975  0.00799049
         357     2.76026     2.74978  0.00796816
         358     2.75878     2.74981  0.00794594
         359     2.75736     2.74983  0.00792384
         360     2.75604     2.74985  0.00790184
         361     2.75483     2.74986  0.00787997
         362     2.75375     2.74987  0.00785821
         363     2.75279     2.74988  0.00783656
         364     2.75198     2.74989  0.00781504
         365      2.7513     2.74989  0.00779363
         366     2.75075     2.74989  0.00777233
         367     2.75032     2.74989  0.00775115
